type,query,result,source_num,count-example,down_links,count-example-num,time,holds_policies,holds_not_policies,unknown_policies
trim,,,,,,,2.431344509124756,0,16295,8793
reachability,Type:reachability;IngressNodeRegex:^nodeid39$|^curacao$|^martinique$|^nodeid27$|^nodeid24$|^bahamas$|^nicaragua$|^nodeid44$|^antigua$|^nodeid50$|^panama$|^turksttandttcaicos$|^puertottrico$|^nodeid34$|^nodeid41$|^nodeid13$|^nodeid56$|^nodeid67$|^nodeid33$|^nodeid58$|^stttvincent$|^dominicanttrepublic$|^nodeid26$|^nodeid29$|^nodeid17$|^nodeid38$|^nodeid46$|^nodeid31$|^costattrica$|^columbia$|^nodeid69$|^nodeid0$|^usa$|^nodeid60$|^nodeid59$|^nodeid9$|^dominica$|^nodeid45$|^nodeid28$|^belize$|^jamaica$|^guadeloupe$|^stttmartin$|^stttkittstt&ttnevis$|^trinidadttandtttobago$|^nodeid7$|^nodeid22$|^honduras$|^nodeid15$|^stttcroix$|^nodeid8$|^nodeid1$|^venezuela$|^nodeid49$|^grenada$|^nodeid32$;FinalNodeRegex:mexico;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:1;Environment:;,correct,56.0,,,0.0,18.497925281524658,56,16295,8737
reachability,Type:reachability;IngressNodeRegex:^nodeid39$|^curacao$|^martinique$|^mexico$|^nodeid27$|^nodeid24$|^bahamas$|^nicaragua$|^nodeid44$|^antigua$|^nodeid50$|^panama$|^turksttandttcaicos$|^puertottrico$|^nodeid41$|^nodeid34$|^nodeid13$|^nodeid56$|^nodeid67$|^nodeid33$|^nodeid58$|^stttvincent$|^dominicanttrepublic$|^nodeid26$|^nodeid29$|^nodeid17$|^nodeid38$|^nodeid46$|^nodeid31$|^costattrica$|^columbia$|^nodeid69$|^nodeid0$|^usa$|^nodeid60$|^nodeid59$|^nodeid9$|^dominica$|^nodeid45$|^nodeid28$|^jamaica$|^guadeloupe$|^stttmartin$|^stttkittstt&ttnevis$|^trinidadttandtttobago$|^nodeid7$|^nodeid22$|^honduras$|^nodeid15$|^stttcroix$|^nodeid8$|^nodeid1$|^venezuela$|^nodeid49$|^grenada$|^nodeid32$;FinalNodeRegex:belize;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:1;Environment:;,correct,56.0,,,0.0,14.100560426712036,112,16295,8681
reachability,Type:reachability;IngressNodeRegex:^nodeid39$|^curacao$|^martinique$|^mexico$|^nodeid27$|^nodeid24$|^bahamas$|^nicaragua$|^nodeid44$|^antigua$|^nodeid50$|^panama$|^turksttandttcaicos$|^puertottrico$|^nodeid34$|^nodeid41$|^nodeid13$|^nodeid56$|^nodeid67$|^nodeid33$|^nodeid58$|^stttvincent$|^dominicanttrepublic$|^nodeid26$|^nodeid29$|^nodeid17$|^nodeid38$|^nodeid46$|^nodeid31$|^costattrica$|^columbia$|^nodeid69$|^nodeid0$|^usa$|^nodeid60$|^nodeid59$|^nodeid9$|^dominica$|^nodeid28$|^belize$|^jamaica$|^guadeloupe$|^stttmartin$|^stttkittstt&ttnevis$|^trinidadttandtttobago$|^nodeid7$|^nodeid22$|^honduras$|^nodeid15$|^stttcroix$|^nodeid8$|^nodeid1$|^venezuela$|^nodeid49$|^grenada$|^nodeid32$;FinalNodeRegex:nodeid45;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:1;Environment:;,correct,56.0,,,0.0,14.569788455963135,168,16295,8625
reachability,Type:reachability;IngressNodeRegex:^nodeid39$|^curacao$|^martinique$|^mexico$|^nodeid27$|^nodeid24$|^bahamas$|^nicaragua$|^nodeid44$|^antigua$|^nodeid50$|^panama$|^turksttandttcaicos$|^puertottrico$|^nodeid34$|^nodeid41$|^nodeid13$|^nodeid56$|^nodeid67$|^nodeid33$|^nodeid58$|^dominicanttrepublic$|^nodeid26$|^nodeid29$|^nodeid17$|^nodeid38$|^nodeid46$|^nodeid31$|^costattrica$|^columbia$|^nodeid69$|^nodeid0$|^usa$|^nodeid60$|^nodeid59$|^nodeid9$|^dominica$|^nodeid45$|^nodeid28$|^belize$|^jamaica$|^guadeloupe$|^stttmartin$|^stttkittstt&ttnevis$|^trinidadttandtttobago$|^nodeid7$|^nodeid22$|^honduras$|^nodeid15$|^stttcroix$|^nodeid8$|^nodeid1$|^venezuela$|^nodeid49$|^grenada$|^nodeid32$;FinalNodeRegex:stttvincent;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:1;Environment:;,correct,56.0,,,0.0,12.098213911056519,224,16295,8569
reachability,Type:reachability;IngressNodeRegex:^nodeid39$|^curacao$|^martinique$|^mexico$|^nodeid27$|^nodeid24$|^bahamas$|^nicaragua$|^nodeid44$|^antigua$|^panama$|^turksttandttcaicos$|^puertottrico$|^nodeid34$|^nodeid41$|^nodeid13$|^nodeid56$|^nodeid67$|^nodeid33$|^nodeid58$|^stttvincent$|^dominicanttrepublic$|^nodeid26$|^nodeid29$|^nodeid17$|^nodeid38$|^nodeid46$|^nodeid31$|^costattrica$|^columbia$|^nodeid69$|^nodeid0$|^usa$|^nodeid60$|^nodeid59$|^nodeid9$|^dominica$|^nodeid45$|^nodeid28$|^belize$|^jamaica$|^guadeloupe$|^stttmartin$|^stttkittstt&ttnevis$|^trinidadttandtttobago$|^nodeid7$|^nodeid22$|^honduras$|^nodeid15$|^stttcroix$|^nodeid8$|^nodeid1$|^venezuela$|^nodeid49$|^grenada$|^nodeid32$;FinalNodeRegex:nodeid50;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:1;Environment:;,correct,56.0,,,0.0,12.955560445785522,280,16295,8513
reachability,Type:reachability;IngressNodeRegex:^nodeid39$|^curacao$|^martinique$|^mexico$|^nodeid27$|^nodeid24$|^bahamas$|^nicaragua$|^antigua$|^nodeid50$|^panama$|^turksttandttcaicos$|^puertottrico$|^nodeid41$|^nodeid34$|^nodeid13$|^nodeid56$|^nodeid67$|^nodeid33$|^nodeid58$|^stttvincent$|^dominicanttrepublic$|^nodeid26$|^nodeid29$|^nodeid17$|^nodeid38$|^nodeid46$|^nodeid31$|^costattrica$|^columbia$|^nodeid69$|^nodeid0$|^usa$|^nodeid60$|^nodeid59$|^nodeid9$|^dominica$|^nodeid45$|^nodeid28$|^belize$|^jamaica$|^guadeloupe$|^stttmartin$|^stttkittstt&ttnevis$|^trinidadttandtttobago$|^nodeid7$|^nodeid22$|^honduras$|^nodeid15$|^stttcroix$|^nodeid8$|^nodeid1$|^venezuela$|^nodeid49$|^grenada$|^nodeid32$;FinalNodeRegex:nodeid44;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:1;Environment:;,correct,56.0,,,0.0,13.67774486541748,336,16295,8457
reachability,Type:reachability;IngressNodeRegex:^nodeid39$|^curacao$|^martinique$|^mexico$|^nodeid27$|^nodeid24$|^bahamas$|^nicaragua$|^nodeid44$|^antigua$|^nodeid50$|^panama$|^turksttandttcaicos$|^puertottrico$|^nodeid34$|^nodeid41$|^nodeid13$|^nodeid56$|^nodeid67$|^nodeid33$|^nodeid58$|^stttvincent$|^dominicanttrepublic$|^nodeid26$|^nodeid29$|^nodeid17$|^nodeid38$|^nodeid31$|^costattrica$|^columbia$|^nodeid69$|^nodeid0$|^usa$|^nodeid60$|^nodeid59$|^nodeid9$|^dominica$|^nodeid45$|^nodeid28$|^belize$|^jamaica$|^guadeloupe$|^stttmartin$|^stttkittstt&ttnevis$|^trinidadttandtttobago$|^nodeid7$|^nodeid22$|^honduras$|^nodeid15$|^stttcroix$|^nodeid8$|^nodeid1$|^venezuela$|^nodeid49$|^grenada$|^nodeid32$;FinalNodeRegex:nodeid46;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:1;Environment:;,correct,56.0,,,0.0,12.948798179626465,392,16295,8401
reachability,Type:reachability;IngressNodeRegex:^nodeid39$|^curacao$|^martinique$|^mexico$|^nodeid27$|^nodeid24$|^bahamas$|^nicaragua$|^nodeid44$|^antigua$|^nodeid50$|^panama$|^turksttandttcaicos$|^puertottrico$|^nodeid34$|^nodeid41$|^nodeid13$|^nodeid56$|^nodeid67$|^nodeid33$|^nodeid58$|^stttvincent$|^dominicanttrepublic$|^nodeid26$|^nodeid29$|^nodeid17$|^nodeid38$|^nodeid46$|^nodeid31$|^costattrica$|^columbia$|^nodeid69$|^nodeid0$|^usa$|^nodeid60$|^nodeid59$|^nodeid9$|^dominica$|^nodeid45$|^nodeid28$|^belize$|^jamaica$|^guadeloupe$|^stttkittstt&ttnevis$|^trinidadttandtttobago$|^nodeid7$|^nodeid22$|^honduras$|^nodeid15$|^stttcroix$|^nodeid8$|^nodeid1$|^venezuela$|^nodeid49$|^grenada$|^nodeid32$;FinalNodeRegex:stttmartin;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:1;Environment:;,correct,56.0,,,0.0,11.678493976593018,448,16295,8345
reachability,Type:reachability;IngressNodeRegex:^nodeid39$|^curacao$|^martinique$|^mexico$|^nodeid27$|^nodeid24$|^nicaragua$|^nodeid44$|^antigua$|^nodeid50$|^panama$|^turksttandttcaicos$|^puertottrico$|^nodeid34$|^nodeid41$|^nodeid13$|^nodeid56$|^nodeid67$|^nodeid33$|^nodeid58$|^stttvincent$|^dominicanttrepublic$|^nodeid26$|^nodeid29$|^nodeid17$|^nodeid38$|^nodeid46$|^nodeid31$|^costattrica$|^columbia$|^nodeid69$|^nodeid0$|^usa$|^nodeid60$|^nodeid59$|^nodeid9$|^dominica$|^nodeid45$|^nodeid28$|^belize$|^jamaica$|^guadeloupe$|^stttmartin$|^stttkittstt&ttnevis$|^trinidadttandtttobago$|^nodeid7$|^nodeid22$|^honduras$|^nodeid15$|^stttcroix$|^nodeid8$|^nodeid1$|^venezuela$|^nodeid49$|^grenada$|^nodeid32$;FinalNodeRegex:bahamas;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:1;Environment:;,correct,56.0,,,0.0,11.823853015899658,504,16295,8289
