type,query,result,source_num,count-example,down_links,count-example-num,time,holds_policies,holds_not_policies,unknown_policies
waypoint,Type:waypoint;IngressNodeRegex:^nodeid44$|^nodeid45$|^nodeid59$;FinalNodeRegex:nodeid31;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:3;Environment:;Waypoints:nodeid44;,wrong,3.0,['nodeid45'],"[""('stttmartin', 'puertottrico')"", ""('nodeid39', 'jamaica')"", ""('nodeid58', 'nodeid17')""]",1.0,5.145537853240967,33,26650,21
waypoint,Type:waypoint;IngressNodeRegex:^nodeid44$|^nodeid59$;FinalNodeRegex:nodeid31;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:3;Environment:;Waypoints:nodeid44;,wrong,2.0,['nodeid59'],"[""('nodeid31', 'nodeid44')"", ""('nodeid33', 'nodeid45')"", ""('nodeid67', 'nodeid29')""]",1.0,28.33501172065735,33,26651,20
waypoint,Type:waypoint;IngressNodeRegex:^nodeid44$;FinalNodeRegex:nodeid31;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:3;Environment:;Waypoints:nodeid44;,correct,1.0,,,0.0,97.89227414131165,34,26651,19
waypoint,Type:waypoint;IngressNodeRegex:^nodeid44$|^nodeid45$|^nodeid59$|^nodeid1$;FinalNodeRegex:nodeid31;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:3;Environment:;Waypoints:nodeid31;,correct,4.0,,,0.0,114.35541272163391,38,26651,15
waypoint,Type:waypoint;IngressNodeRegex:^nodeid45$|^nodeid44$|^nodeid59$;FinalNodeRegex:nodeid1;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:3;Environment:;Waypoints:nodeid45;,wrong,3.0,['nodeid44'],"[""('nodeid33', 'nodeid45')"", ""('nodeid44', 'nodeid45')""]",1.0,7.832756996154785,38,26652,14
waypoint,Type:waypoint;IngressNodeRegex:^nodeid45$|^nodeid59$;FinalNodeRegex:nodeid1;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:3;Environment:;Waypoints:nodeid45;,wrong,2.0,['nodeid59'],"[""('nodeid31', 'nodeid44')"", ""('nodeid44', 'nodeid45')"", ""('bahamas', 'nodeid45')""]",1.0,8.11379885673523,38,26653,13
waypoint,Type:waypoint;IngressNodeRegex:^nodeid45$;FinalNodeRegex:nodeid1;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:3;Environment:;Waypoints:nodeid45;,correct,1.0,,,0.0,92.38486695289612,39,26653,12
waypoint,Type:waypoint;IngressNodeRegex:^nodeid45$|^nodeid31$|^nodeid44$|^nodeid59$;FinalNodeRegex:nodeid1;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:3;Environment:;Waypoints:nodeid33;,wrong,4.0,"['nodeid45', 'nodeid31', 'nodeid44', 'nodeid59']","[""('usa', 'nodeid33')"", ""('nodeid56', 'puertottrico')"", ""('nodeid67', 'nodeid29')""]",4.0,7.037986755371094,39,26657,8
waypoint,Type:waypoint;IngressNodeRegex:^nodeid44$;FinalNodeRegex:nodeid1;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:3;Environment:;Waypoints:nodeid44;,correct,1.0,,,0.0,91.30917572975159,40,26657,7
waypoint,Type:waypoint;IngressNodeRegex:^nodeid31$;FinalNodeRegex:nodeid1;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:3;Environment:;Waypoints:nodeid31;,correct,1.0,,,0.0,109.62944340705872,41,26657,6
waypoint,Type:waypoint;IngressNodeRegex:^nodeid45$|^nodeid1$;FinalNodeRegex:nodeid59;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:3;Environment:;Waypoints:nodeid45;,wrong,2.0,['nodeid1'],"[""('nodeid56', 'dominicanttrepublic')"", ""('nodeid38', 'columbia')"", ""('nodeid33', 'nodeid45')""]",1.0,3.5347163677215576,41,26658,5
waypoint,Type:waypoint;IngressNodeRegex:^nodeid45$;FinalNodeRegex:nodeid59;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:3;Environment:;Waypoints:nodeid45;,correct,1.0,,,0.0,110.46150755882263,42,26658,4
waypoint,Type:waypoint;IngressNodeRegex:^nodeid1$;FinalNodeRegex:nodeid59;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:3;Environment:;Waypoints:nodeid33;,wrong,1.0,['nodeid1'],"[""('usa', 'nodeid33')"", ""('nodeid38', 'nodeid41')"", ""('columbia', 'nodeid1')""]",1.0,7.1957831382751465,42,26659,3
waypoint,Type:waypoint;IngressNodeRegex:^nodeid44$|^nodeid31$;FinalNodeRegex:nodeid59;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:3;Environment:;Waypoints:nodeid44;,wrong,2.0,['nodeid31'],"[""('nodeid56', 'dominicanttrepublic')"", ""('nodeid31', 'nodeid44')"", ""('turksttandttcaicos', 'dominicanttrepublic')""]",1.0,12.851088047027588,42,26660,2
waypoint,Type:waypoint;IngressNodeRegex:^nodeid44$;FinalNodeRegex:nodeid59;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:3;Environment:;Waypoints:nodeid44;,correct,1.0,,,0.0,136.73763704299927,43,26660,1
waypoint,Type:waypoint;IngressNodeRegex:^nodeid31$;FinalNodeRegex:nodeid59;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:3;Environment:;Waypoints:nodeid31;,correct,1.0,,,0.0,127.8052134513855,44,26660,0
