type,query,result,source_num,count-example,down_links,count-example-num,time,holds_policies,holds_not_policies,unknown_policies
reachability,Type:reachability;IngressNodeRegex:^marseille$|^milan$|^praha$|^strasbourg$|^geneva$|^warsaw$|^lyon$|^vienna$|^brussels$|^zurich$|^amsterdam$|^bratislava$|^frankfurt$|^london$;FinalNodeRegex:paris;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:2;Environment:;,correct,14.0,,,0.0,5.687755584716797,212,4831,107
reachability,Type:reachability;IngressNodeRegex:^paris$|^peergeneva_9$|^peerbrussels_5$|^peerbrussels_6$|^geneva$|^strasbourg$|^peerbrussels_4$|^madrid$|^peerstrasbourg_15$|^peeramsterdam_0$|^lyon$|^peergeneva_8$|^brussels$|^peerbasel_2$|^luxembourg$|^peerbasel_3$|^lisbon$|^rotterdam$|^basel$|^amsterdam$|^dublin$|^london$;FinalNodeRegex:peeristanbul_10;FinalIfaceRegex:LongReachEthernet0;Negate:True;MaxFailures:2;Environment:;,wrong,22.0,"['paris', 'peergeneva_9', 'peerbrussels_5', 'peerbrussels_6', 'geneva', 'strasbourg', 'peerbrussels_4', 'madrid', 'peerstrasbourg_15', 'peeramsterdam_0', 'lyon', 'peergeneva_8', 'brussels', 'peerbasel_2', 'luxembourg', 'peerbasel_3', 'lisbon', 'rotterdam', 'basel', 'amsterdam', 'dublin', 'london']","[""('bucharest', 'budapest')"", ""('budapest', 'bratislava')""]",22.0,2.363499879837036,212,4853,85
reachability,Type:reachability;IngressNodeRegex:^barcelona$|^peerbarcelona_1$;FinalNodeRegex:peergeneva_9;FinalIfaceRegex:LongReachEthernet0;Negate:True;MaxFailures:2;Environment:;,wrong,2.0,"['barcelona', 'peerbarcelona_1']","[""('marseille', 'milan')"", ""('geneva', 'zurich')""]",2.0,5.815451622009277,212,4855,83
reachability,Type:reachability;IngressNodeRegex:^rotterdam$;FinalNodeRegex:peergeneva_8;FinalIfaceRegex:LongReachEthernet0;Negate:True;MaxFailures:2;Environment:;,wrong,1.0,['rotterdam'],"[""('marseille', 'lyon')"", ""('vienna', 'frankfurt')""]",1.0,2.1292564868927,212,4856,82
waypoint,Type:waypoint;IngressNodeRegex:^geneva$|^lyon$;FinalNodeRegex:warsaw;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:2;Environment:;Waypoints:geneva;,wrong,2.0,['lyon'],"[""('paris', 'madrid')"", ""('amsterdam', 'frankfurt')""]",1.0,1.6909775733947754,212,4857,81
waypoint,Type:waypoint;IngressNodeRegex:^geneva$;FinalNodeRegex:warsaw;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:2;Environment:;Waypoints:geneva;,correct,1.0,,,0.0,4.503847122192383,213,4857,80
waypoint,Type:waypoint;IngressNodeRegex:^lyon$;FinalNodeRegex:warsaw;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:2;Environment:;Waypoints:lyon;,correct,1.0,,,0.0,5.083416223526001,214,4857,79
waypoint,Type:waypoint;IngressNodeRegex:^geneva$|^paris$|^lyon$;FinalNodeRegex:zurich;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:2;Environment:;Waypoints:geneva;,wrong,3.0,"['paris', 'lyon']","[""('geneva', 'zurich')"", ""('zurich', 'frankfurt')""]",2.0,3.169638156890869,214,4859,77
waypoint,Type:waypoint;IngressNodeRegex:^geneva$;FinalNodeRegex:zurich;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:2;Environment:;Waypoints:geneva;,correct,1.0,,,0.0,5.515416622161865,215,4859,76
waypoint,Type:waypoint;IngressNodeRegex:^lyon$;FinalNodeRegex:zurich;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:2;Environment:;Waypoints:lyon;,correct,1.0,,,0.0,6.448794603347778,216,4859,75
waypoint,Type:waypoint;IngressNodeRegex:^geneva$|^lyon$|^marseille$;FinalNodeRegex:strasbourg;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:2;Environment:;Waypoints:geneva;,wrong,3.0,['marseille'],"[""('warsaw', 'kiev')"", ""('vienna', 'frankfurt')""]",1.0,2.4364330768585205,216,4860,74
waypoint,Type:waypoint;IngressNodeRegex:^geneva$|^lyon$;FinalNodeRegex:strasbourg;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:2;Environment:;Waypoints:geneva;,wrong,2.0,['lyon'],"[""('strasbourg', 'frankfurt')"", ""('strasbourg', 'basel')""]",1.0,3.4648284912109375,216,4861,73
waypoint,Type:waypoint;IngressNodeRegex:^geneva$;FinalNodeRegex:strasbourg;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:2;Environment:;Waypoints:geneva;,correct,1.0,,,0.0,5.356492757797241,217,4861,72
waypoint,Type:waypoint;IngressNodeRegex:^lyon$|^marseille$;FinalNodeRegex:strasbourg;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:2;Environment:;Waypoints:lyon;,wrong,2.0,['marseille'],"[""('paris', 'lyon')"", ""('paris', 'geneva')""]",1.0,1.8195862770080566,217,4862,71
waypoint,Type:waypoint;IngressNodeRegex:^lyon$;FinalNodeRegex:strasbourg;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:2;Environment:;Waypoints:lyon;,correct,1.0,,,0.0,4.687909126281738,218,4862,70
waypoint,Type:waypoint;IngressNodeRegex:^zurich$|^paris$|^lyon$|^marseille$|^strasbourg$|^london$|^brussels$|^amsterdam$|^frankfurt$|^milan$|^vienna$|^warsaw$|^praha$|^bratislava$;FinalNodeRegex:geneva;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:2;Environment:;Waypoints:geneva;,correct,14.0,,,0.0,8.067338705062866,232,4862,56
waypoint,Type:waypoint;IngressNodeRegex:^lyon$|^marseille$;FinalNodeRegex:geneva;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:2;Environment:;Waypoints:lyon;,wrong,2.0,['marseille'],"[""('paris', 'lyon')"", ""('geneva', 'lyon')""]",1.0,4.425912857055664,232,4863,55
waypoint,Type:waypoint;IngressNodeRegex:^lyon$;FinalNodeRegex:geneva;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:2;Environment:;Waypoints:lyon;,correct,1.0,,,0.0,5.060488939285278,233,4863,54
