type,query,result,source_num,count-example,down_links,count-example-num,time,holds_policies,holds_not_policies,unknown_policies
trim,,,,,,,0.30684375762939453,0,2299,73
reachability,Type:reachability;IngressNodeRegex:^milan$|^geneva$|^paris$|^zurich$|^frankfurt$|^brussels$;FinalNodeRegex:amsterdam;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:3;Environment:;,correct,6.0,,,0.0,4.699195146560669,6,2299,67
reachability,Type:reachability;IngressNodeRegex:^geneva$|^paris$|^zurich$|^frankfurt$|^brussels$|^amsterdam$;FinalNodeRegex:milan;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:3;Environment:;,correct,6.0,,,0.0,3.8909268379211426,12,2299,61
reachability,Type:reachability;IngressNodeRegex:^milan$|^geneva$|^paris$|^frankfurt$|^brussels$|^amsterdam$;FinalNodeRegex:zurich;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:3;Environment:;,correct,6.0,,,0.0,4.889955282211304,18,2299,55
reachability,Type:reachability;IngressNodeRegex:^milan$|^geneva$|^paris$|^zurich$|^brussels$|^amsterdam$;FinalNodeRegex:frankfurt;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:3;Environment:;,correct,6.0,,,0.0,5.159829616546631,24,2299,49
reachability,Type:reachability;IngressNodeRegex:^milan$|^geneva$|^paris$|^zurich$|^frankfurt$|^amsterdam$;FinalNodeRegex:brussels;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:3;Environment:;,correct,6.0,,,0.0,5.3346638679504395,30,2299,43
reachability,Type:reachability;IngressNodeRegex:^milan$|^paris$|^zurich$|^frankfurt$|^brussels$|^amsterdam$;FinalNodeRegex:geneva;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:3;Environment:;,correct,6.0,,,0.0,5.403102397918701,36,2299,37
reachability,Type:reachability;IngressNodeRegex:^milan$|^geneva$|^zurich$|^frankfurt$|^brussels$|^amsterdam$;FinalNodeRegex:paris;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:3;Environment:;,correct,6.0,,,0.0,5.06561279296875,42,2299,31
loadbalancing,Type:loadbalancing;IngressNodeRegex:^brussels$;FinalNodeRegex:amsterdam;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:3;Environment:;NumPaths:4;,wrong,1.0,['brussels'],"[""('paris', 'brussels')"", ""('frankfurt', 'amsterdam')"", ""('brussels', 'amsterdam')""]",1.0,0.43740129470825195,42,2300,30
loadbalancing,Type:loadbalancing;IngressNodeRegex:^geneva$;FinalNodeRegex:amsterdam;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:3;Environment:;NumPaths:2;,wrong,1.0,['geneva'],"[""('paris', 'brussels')"", ""('frankfurt', 'amsterdam')"", ""('brussels', 'amsterdam')""]",1.0,0.4100632667541504,42,2301,29
loadbalancing,Type:loadbalancing;IngressNodeRegex:^paris$;FinalNodeRegex:zurich;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:3;Environment:;NumPaths:3;,wrong,1.0,['paris'],"[""('zurich', 'frankfurt')"", ""('frankfurt', 'amsterdam')"", ""('frankfurt', 'brussels')""]",1.0,0.5713109970092773,42,2302,28
loadbalancing,Type:loadbalancing;IngressNodeRegex:^geneva$;FinalNodeRegex:frankfurt;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:3;Environment:;NumPaths:2;,wrong,1.0,['geneva'],"[""('frankfurt', 'amsterdam')"", ""('frankfurt', 'brussels')"", ""('frankfurt', 'strasbourg')""]",1.0,0.4817662239074707,42,2303,27
loadbalancing,Type:loadbalancing;IngressNodeRegex:^geneva$;FinalNodeRegex:brussels;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:3;Environment:;NumPaths:3;,wrong,1.0,['geneva'],"[""('lyon', 'geneva')"", ""('luxembourg', 'strasbourg')"", ""('zurich', 'frankfurt')""]",1.0,0.5428042411804199,42,2304,26
loadbalancing,Type:loadbalancing;IngressNodeRegex:^milan$;FinalNodeRegex:brussels;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:3;Environment:;NumPaths:2;,wrong,1.0,['milan'],"[""('luxembourg', 'strasbourg')"", ""('paris', 'london')"", ""('frankfurt', 'brussels')""]",1.0,0.4718165397644043,42,2305,25
loadbalancing,Type:loadbalancing;IngressNodeRegex:^paris$;FinalNodeRegex:geneva;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:3;Environment:;NumPaths:2;,wrong,1.0,['paris'],"[""('lyon', 'geneva')"", ""('geneva', 'paris')"", ""('zurich', 'roma')""]",1.0,0.4343738555908203,42,2306,24
loadbalancing,Type:loadbalancing;IngressNodeRegex:^brussels$;FinalNodeRegex:geneva;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:3;Environment:;NumPaths:3;,wrong,1.0,['brussels'],"[""('lyon', 'geneva')"", ""('geneva', 'paris')"", ""('zurich', 'roma')""]",1.0,0.4589228630065918,42,2307,23
loadbalancing,Type:loadbalancing;IngressNodeRegex:^amsterdam$;FinalNodeRegex:paris;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:3;Environment:;NumPaths:2;,wrong,1.0,['amsterdam'],"[""('paris', 'brussels')"", ""('frankfurt', 'amsterdam')"", ""('frankfurt', 'brussels')""]",1.0,0.5180730819702148,42,2308,22
waypoint,Type:waypoint;IngressNodeRegex:^frankfurt$|^zurich$|^geneva$|^milan$;FinalNodeRegex:amsterdam;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:3;Environment:;Waypoints:frankfurt;,wrong,4.0,"['zurich', 'geneva', 'milan']","[""('paris', 'brussels')"", ""('frankfurt', 'amsterdam')"", ""('frankfurt', 'brussels')""]",3.0,0.4465792179107666,42,2311,19
waypoint,Type:waypoint;IngressNodeRegex:^frankfurt$;FinalNodeRegex:amsterdam;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:3;Environment:;Waypoints:frankfurt;,correct,1.0,,,0.0,3.360443592071533,43,2311,18
